Protein accession number	Protein Name	location		
YNL112W	"DBP2  Essential ATP-dependent RNA helicase of the DEAD-box protein family, involved in nonsense-mediated mRNA decay and rRNA processing"	nuclear		
YGL078C	DBP3  Putative ATP-dependent RNA helicase of the DEAD-box family involved in ribosomal biogenesis	nuclear		
YOR046C	DBP5 (RAT8) Cytoplasmic ATP-dependent RNA helicase of the DEAD-box family involved in mRNA export from the nucleus	nuclear		
YNR038W	DBP6  Essential protein involved in ribosome biogenesis; putative ATP-dependent RNA helicase of the DEAD-box protein family	nuclear		
YKR024C	DBP7  Putative ATP-dependent RNA helicase of the DEAD-box family involved in ribosomal biogenesis	nuclear		
YHR169W	DBP8  Putative ATP-dependent RNA helicase of the DEAD-box family involved in biogenesis of the 40S ribosomal subunit	nuclear		
YLR276C	DBP9  ATP-dependent RNA helicase of the DEAD-box family involved in biogenesis of the 60S ribosomal subunit	nuclear		
YKL149C	"DBR1 (PRP26) RNA lariat debranching enzyme, involved in intron turnover; required for efficient Ty1 transposition"	nuclear		
YKL054C	"DEF1 (VID31) RNAPII degradation factor, forms a complex with Rad26p in chromatin, enables ubiquitination and proteolysis of RNAPII present in an elongation complex"	nuclear		
YAL013W	"DEP1 (FUN54) Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation"	nuclear		
YKL078W	"DHR2  Predominantly nucleolar DEAH-box RNA helicase, required for 18S rRNA synthesis"	nuclear		
YPR082C	"DIB1 (SNU16) 17-kDa component of the U4/U6aU5 tri-snRNP, plays an essential role in pre-mRNA splicing, orthologue of the human U5-specific 15-kDa protein"	nuclear		
YPL049C	"DIG1 (RST1) Regulatory protein of unknown function, constitutively-expressed, involved in the regulation of mating-specific genes and the invasive growth pathway, required for MAP-kinase imposed repression, inhibits pheromone-responsive transcription"	nuclear		
YDR480W	"DIG2 (RST2) Regulatory protein of unknown function, pheromone-inducible, involved in the regulation of mating-specific genes and the invasive growth pathway, required for MAP-kinase imposed repression, inhibits pheromone-responsive transcription"	nuclear		
YPL266W	"DIM1 (CDH1) Essential 18S rRNA dimethylase, responsible for conserved m6(2)Am6(2)A dimethylation in 3'-terminal loop of 18 S rRNA, part of 90S and 40S pre-particles in nucleolus, involved in pre-ribosomal RNA processing"	nuclear		
YLR129W	"DIP2 (UTP12) Nucleolar protein, specifically associated with the U3 snoRNA, part of the large ribonucleoprotein complex known as the small subunit (SSU) processome, required for 18S rRNA biogenesis, part of the active pre-rRNA processing complex"	nuclear		
YOL021C	"DIS3 (RRP44) Nucleolar exosome component, involved in rRNA processing and RNA degradation, binds Gsp1p/Ran and enhances the GEF activity of Srm1p, implicated in mitotic control, homologous to the E. coli RNase R of the RNase II family"	nuclear		
YHR164C	"DNA2 (WEB2) Essential tripartite DNA replication factor with single-stranded DNA-dependent ATPase, ATP-dependent nuclease, and helicase activities; required for Okazaki fragment processing; involved in DNA repair pathways; potential Cdc28p substrate"	nuclear		
YDR440W	"DOT1 (PCH1) Nucleosomal histone H3-Lys79 methylase, associates with transcriptionally active genes, functions in gene silencing at telomeres, most likely by directly modulating chromatin structure and Sir protein localization"	nuclear		
YIL010W	DOT5 (nTPx) Nuclear thiol peroxidase which functions as an alkyl-hydroperoxide reductase during post-diauxic growth	nuclear		
YER088C	"DOT6  Protein of unknown function, involved in telomeric gene silencing and filamentation"	nuclear		
YPR175W	"DPB2  Second largest subunit of DNA polymerase II (DNA polymerase epsilon), required for normal yeast chromosomal replication; expression peaks at the G1/S phase boundary; potential Cdc28p substrate"	nuclear		
YBR278W	"DPB3  Third-largest subunit of DNA polymerase II (DNA polymerase epsilon), required to maintain fidelity of chromosomal replication and also for inheritance of telomeric silencing; mRNA abundance peaks at the G1/S boundary of the cell cycle"	nuclear		
YDR121W	DPB4  Shared subunit of DNA polymerase epsilon and of ISW2/yCHRAC chromatin accessibility complex; involved in both chromosomal DNA replication and in inheritance of telomeric silencing	nuclear		
YLL008W	"DRS1  Nucleolar DEAD-box protein required for ribosome assembly and function, including synthesis of 60S ribosomal subunits; constituent of 66S pre-ribosomal particles"	nuclear		
YGL043W	"DST1 (P37,SII,S-II,TFIIS,PPR2) General transcription elongation factor TFIIS, enables RNA polymerase II to read through blocks to elongation by stimulating cleavage of nascent transcripts stalled at transcription arrest sites"	nuclear		
YGL061C	"DUO1  Essential subunit of the DASH microtubule ring complex, couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis"	nuclear		
YLR401C	"DUS3  Dihydrouridine synthase, member of a widespread family of conserved proteins including Smm1p, Dus1p, and Dus4p; contains a consensus oleate response element (ORE) in its promoter region"	nuclear		
YDR424C	"DYN2 (SLC1) Cytoplasmic light chain dynein, microtubule motor protein"	nuclear		
YPR023C	"EAF3  Esa1p-associated factor, nonessential component of the NuA4 acetyltransferase complex, homologous to Drosophila dosage compensation protein MSL3"	nuclear		
YEL018W	"EAF5  Esa1p-associated factor, subunit of the NuA4 acetyltransferase complex"	nuclear		
YKL172W	"EBP2  Essential protein required for the maturation of 25S rRNA and 60S ribosomal subunit assembly, localizes to the nucleolus; constituent of 66S pre-ribosomal particles"	nuclear		
YAL059W	"ECM1  Protein of unknown function, localized in the nucleoplasm and the nucleolus, genetically interacts with MTR2 in 60S ribosomal protein subunit export"	nuclear		
YMR128W	"ECM16 (DHR1) Essential DEAH-box ATP-dependent RNA helicase specific to the U3 snoRNP, predominantly nucleolar in distribution, required for 18S rRNA synthesis"	nuclear		
YBR065C	"ECM2 (SLT11) Pre-mRNA splicing factor, facilitates the cooperative formation of U2/U6 helix II in association with stem II in the spliceosome, function may be regulated by Slu7p"	nuclear		
YLR228C	"ECM22  Sterol regulatory element binding protein, regulates transcription of the sterol biosynthetic genes ERG2 and ERG3; member of the fungus-specific Zn[2]-Cys[6] binuclear cluster family of transcription factors; homologous to Upc2p"	nuclear		
YHL030W	"ECM29  Major component of the proteasome; tethers the proteasome core particle to the regulatory particle, and enhances the stability of the proteasome"	nuclear		
YPL046C	"ELC1  Elongin C, forms heterodimer with Ela1p that participates in transcription elongation; expression dramatically upregulated during sporulation; widely conserved among eukaryotes"	nuclear		
YKL160W	ELF1  Transcription elongation factor that contains a conserved zinc finger domain; implicated in the maintenance of proper chromatin structure in actively transcribed regions; deletion inhibits Brome mosaic virus (BMV) gene expression	nuclear		
YPL086C	"ELP3 (TOT3,HPA1) Histone acetyltransferase subunit of the Elongator complex, which is a component of the RNA polymerase II holoenzyme; activity is directed specifically towards histones H3 and H4; disruption confers resistance to K. lactis zymotoxin"	nuclear		
YLR186W	EMG1 (NEP1) Protein required for the maturation of the 18S rRNA and for 40S ribosome production; associated with spindle/microtubules; nuclear localization depends on physical interaction with Nop14p; may bind snoRNAs	nuclear		
YBR247C	"ENP1 (MEG1) Protein associated with U3 and U14 snoRNAs, required for pre-rRNA processing and 40S ribosomal subunit synthesis; localized in the nucleus and concentrated in the nucleolus"	nuclear		
YGR145W	"ENP2  Essential nucleolar protein of unknown function; contains WD repeats, interacts with Mpp10p and Bfr2p, and has homology to Spb1p"	nuclear		
YFL024C	"EPL1  Component of NuA4, which is an essential histone H4/H2A acetyltransferase complex; homologous to Drosophila Enhancer of Polycomb"	nuclear		
YMR049C	ERB1  Protein required for maturation of the 25S and 5.8S ribosomal RNAs; constituent of 66S pre-ribosomal particles; homologous to mammalian Bop1	nuclear		
YMR219W	"ESC1  Protein localized to the nuclear periphery, involved in telomeric silencing; interacts with PAD4-domain of Sir4p"	nuclear		
YDR365C	ESF1  Nucleolar protein involved in pre-rRNA processing; depletion causes severely decreased 18S rRNA levels	nuclear		
YNR054C	"ESF2 (ABT1) Essential nucleolar protein involved in pre-18S rRNA processing; component of the small subunit (SSU) processome; has sequence similarity to mABT1, a mouse transcription activator"	nuclear		
YJR017C	"ESS1 (PIN1,PTF1) Peptidylprolyl-cis/trans-isomerase (PPIase) specific for phosphorylated serine and threonine residues N-terminal to proline; regulates phosphorylation of the RNA polymerase II large subunit (Rpo21p) C-terminal domain"	nuclear		
YLR233C	"EST1  TLC1 RNA-associated factor involved in telomere length regulation as the recruitment subunit of the telomerase holoenzyme, has a possible role in activating Est2p-TLC1-RNA bound to the telomere"	nuclear		
YLR318W	"EST2 (TERT) Reverse transcriptase subunit of the telomerase holoenzyme, essential for telomerase core catalytic activity, involved in other aspects of telomerase assembly and function; mutations in human homolog are associated with aplastic anemia"	nuclear		
YDR021W	"FAL1  Nucleolar protein required for maturation of 18S rRNA, member of the eIF4A subfamily of DEAD-box ATP-dependent RNA helicases"	nuclear		
YDL166C	"FAP7  Essential NTPase required for small ribosome subunit synthesis, mediates processing of the 20S pre-rRNA at site D in the cytoplasm but associates only transiently with 43S preribosomes via Rps14p, may be the endonuclease for site D"	nuclear		
YMR277W	"FCP1  Carboxy-terminal domain (CTD) phosphatase, essential for dephosphorylation of the repeated C-terminal domain of the RNA polymerase II large subunit (Rpo21p)"	nuclear		
YJR093C	"FIP1  Subunit of cleavage polyadenylation factor (CPF), interacts directly with poly(A) polymerase (Pap1p) to regulate its activity"	nuclear		
YIL131C	FKH1  Transcription factor of the forkhead family that regulates the cell cycle and pseudohyphal growth; also involved in chromatin silencing at HML and HMR	nuclear		
YDR110W	FOB1 (HRM1) Nucleolar protein required for DNA replication fork blocking and recombinational hotspot activities; binds to the replication fork barrier site in the rDNA region; related to retroviral integrases	nuclear		
YGR267C	"FOL2  GTP-cyclohydrolase I, catalyzes the first step in the folic acid biosynthetic pathway"	nuclear		
YNL135C	"FPR1 (FKBP12,RBP1,FKB1) Peptidyl-prolyl cis-trans isomerase (PPIase), binds to the drugs FK506 and rapamycin; also binds to the nonhistone chromatin binding protein Hmo1p and may regulate its assembly or function"	nuclear		
YML074C	FPR3 (NPI46) Nucleolar peptidyl-prolyl cis-trans isomerase (PPIase); FK506 binding protein; phosphorylated by casein kinase II (Cka1p-Cka2p-Ckb1p-Ckb2p) and dephosphorylated by Ptp1p	nuclear		
YLR449W	"FPR4  Nuclear protein, putative peptidyl-prolyl cis-trans isomerase (PPIase) with similarity to Fpr3p; overproduction suppresses the growth defect resulting from the absence of E3 ubiquitin-protein ligase Tom1p"	nuclear		
YAL019W	"FUN30  Protein whose overexpression affects chromosome stability, potential Cdc28p substrate; homolog of Snf2p"	nuclear		
YNL133C	"FYV6  Protein of unknown function, required for survival upon exposure to K1 killer toxin; proposed to regulate double-strand break repair via non-homologous end-joining"	nuclear		
YLR068W	"FYV7  Protein of unknown function, required for survival upon exposure to K1 killer toxin; involved in processing the 35S rRNA primary transcript to generate the 20S and 27SA2 pre-rRNA transcripts"	nuclear		
YML051W	GAL80  Transcriptional regulator involved in the repression of GAL genes in the absence of galactose; inhibits transcriptional activation by Gal4p; inhibition relieved by Gal3p or Gal1p binding	nuclear		
YER027C	"GAL83 (SPM1) One of three possible beta-subunits of the Snf1 kinase complex, allows nuclear localization of the Snf1 kinase complex in the presence of a nonfermentable carbon source; contains glycogen-binding domain"	nuclear		
YHR089C	"GAR1  Protein component of the H/ACA snoRNP pseudouridylase complex, involved in the modification and cleavage of the 18S pre-rRNA"	nuclear		
YCL011C	"GBP2 (RLF6) Poly(A+) RNA-binding protein, involved in the export of mRNAs from the nucleus to the cytoplasm; similar to Hrb1p and Npl3p; also binds single-stranded telomeric repeat sequence in vitro"	nuclear		
